Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Afghanistan,33.0,65.0,2020-07-08,20700,AFG,142,34,
,Afghanistan,33.0,65.0,2020-07-07,20179,AFG,142,34,
,Afghanistan,33.0,65.0,2020-07-06,20103,AFG,142,34,
,Afghanistan,33.0,65.0,2020-07-05,19366,AFG,142,34,
,Afghanistan,33.0,65.0,2020-07-04,19164,AFG,142,34,
,Afghanistan,33.0,65.0,2020-07-03,17331,AFG,142,34,
,Afghanistan,33.0,65.0,2020-07-02,16041,AFG,142,34,
,Afghanistan,33.0,65.0,2020-07-01,15651,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-30,14131,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-29,13934,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-28,12604,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-27,10674,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-26,10306,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-25,10174,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-24,9869,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-23,9260,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-22,8841,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-21,8764,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-20,8292,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-19,7962,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-18,7660,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-17,6158,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-16,5508,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-15,5164,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-14,4725,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-13,4201,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-12,3928,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-11,3326,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-10,3013,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-09,2651,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-08,2171,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-07,1875,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-06,1830,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-05,1762,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-04,1585,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-03,1522,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-02,1450,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-01,1428,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-31,1328,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-30,1303,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-29,1259,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-28,1209,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-27,1138,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-26,1128,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-25,1097,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-24,1075,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-23,1040,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-22,996,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-21,938,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-20,930,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-19,850,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-18,801,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-17,778,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-16,745,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-15,745,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-14,691,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-13,648,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-12,610,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-11,558,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-10,558,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-09,502,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-08,472,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-07,468,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-06,458,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-05,421,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-04,397,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-03,345,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-02,331,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-01,310,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-30,260,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-29,252,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-28,228,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-27,220,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-26,207,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-25,188,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-24,188,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-23,179,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-22,166,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-21,150,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-20,135,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-19,131,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-18,112,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-17,99,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-16,54,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-15,43,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-14,40,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-13,32,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-12,32,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-11,32,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-10,32,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-09,32,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-08,29,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-07,18,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-06,18,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-05,15,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-04,10,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-03,10,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-02,10,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-01,5,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-31,5,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-30,2,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-29,2,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-28,2,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-27,2,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-26,2,AFG,142,34,
