Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Afghanistan,33.0,65.0,2020-02-04,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-02-03,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-02-02,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-02-01,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-31,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-30,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-29,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-28,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-27,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-26,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-25,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-24,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-23,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-01-22,0,AFG,142,34,
,Albania,41.1533,20.1683,2020-07-08,3106,ALB,150,39,
,Albania,41.1533,20.1683,2020-07-07,3038,ALB,150,39,
,Albania,41.1533,20.1683,2020-07-06,2964,ALB,150,39,
,Albania,41.1533,20.1683,2020-07-05,2893,ALB,150,39,
,Albania,41.1533,20.1683,2020-07-04,2819,ALB,150,39,
,Albania,41.1533,20.1683,2020-07-03,2752,ALB,150,39,
,Albania,41.1533,20.1683,2020-07-02,2662,ALB,150,39,
,Albania,41.1533,20.1683,2020-07-01,2580,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-30,2535,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-29,2466,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-28,2402,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-27,2330,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-26,2269,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-25,2192,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-24,2114,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-23,2047,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-22,1995,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-21,1962,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-20,1891,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-19,1838,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-18,1788,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-17,1722,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-16,1672,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-15,1590,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-14,1521,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-13,1464,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-12,1416,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-11,1385,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-10,1341,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-09,1299,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-08,1263,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-07,1246,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-06,1232,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-05,1212,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-04,1197,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-03,1184,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-02,1164,ALB,150,39,
,Albania,41.1533,20.1683,2020-06-01,1143,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-31,1137,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-30,1122,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-29,1099,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-28,1076,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-27,1050,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-26,1029,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-25,1004,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-24,998,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-23,989,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-22,981,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-21,969,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-20,964,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-19,949,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-18,948,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-17,946,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-16,933,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-15,916,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-14,898,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-13,880,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-12,876,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-11,872,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-10,868,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-09,856,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-08,850,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-07,842,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-06,832,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-05,820,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-04,803,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-03,795,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-02,789,ALB,150,39,
,Albania,41.1533,20.1683,2020-05-01,782,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-30,773,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-29,766,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-28,750,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-27,736,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-26,726,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-25,712,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-24,678,ALB,150,39,
