id	datestamp	timestamp	username	tweet	replies_count	retweets_count	likes_count	url	country
1224992378206871552	2020-02-05	06:45:16	shanghaidaily	One residential compound in the Pudong New Area is using drones to assist neighborhood efforts to contain the ongoing #coronavirus outbreak. https://www.shine.cn/news/metro/2002051335/ …	1	1	3	https://twitter.com/shanghaidaily/status/1224992378206871552	China
1224992194802536448	2020-02-05	06:44:33	shanghaidaily	Leading #US department store chain Macy's on Tuesday announced a plan to close 125 stores over the next three years and lay off about 2,000 employees. https://www.shine.cn/news/world/2002051331/ …	0	2	5	https://twitter.com/shanghaidaily/status/1224992194802536448	China
1224979886743252992	2020-02-05	05:55:38	shanghaidaily	Latest update of the novel #coronavirus figure: pic.twitter.com/brQpiGziN8	1	6	7	https://twitter.com/shanghaidaily/status/1224979886743252992	China
1224964506423459841	2020-02-05	04:54:31	shanghaidaily	The Shanghai Airport Authority has allocated 1 million yuan (US$142,816) in reward funding for frontline airport staff working amid the #coronavirus outbreak. https://www.shine.cn/news/metro/2002051322/ …	0	4	4	https://twitter.com/shanghaidaily/status/1224964506423459841	China
1224964370507022336	2020-02-05	04:53:59	shanghaidaily	#Shanghai residents can now make group orders of fresh #vegetables planted in the Pudong New Area. #coronavirus https://www.shine.cn/news/metro/2002051321/ …	0	1	6	https://twitter.com/shanghaidaily/status/1224964370507022336	China
1224964176226869249	2020-02-05	04:53:13	shanghaidaily	Jing’an District has released a set of policies, including reducing rents and increasing credit, to support small businesses affected by the ongoing #epidemic. #coronavirus https://www.shine.cn/news/metro/2002051318/ …	0	2	5	https://twitter.com/shanghaidaily/status/1224964176226869249	China
1224963927013916673	2020-02-05	04:52:13	shanghaidaily	At least 10 people on a cruise ship quarantined off the coast of Japan have tested positive for the new #coronavirus, Japan's health minister said on Wednesday. https://www.shine.cn/news/world/2002051317/ …	0	2	3	https://twitter.com/shanghaidaily/status/1224963927013916673	China
1224956420396699648	2020-02-05	04:22:23	shanghaidaily	The city has confirmed another 10 #coronavirus cases, including one case in serious condition, the Shanghai Health Commission said on Wednesday afternoon. https://www.shine.cn/news/metro/2002051315/ …	0	0	3	https://twitter.com/shanghaidaily/status/1224956420396699648	China
1224953069558849536	2020-02-05	04:09:04	shanghaidaily	China's Ministry of Education has required colleges and universities nationwide to offer online teaching and learning resources following the postponement of school semesters.#coronavirus https://www.shine.cn/news/nation/2002051311/ …	0	1	6	https://twitter.com/shanghaidaily/status/1224953069558849536	China
1224941392205475840	2020-02-05	03:22:40	shanghaidaily	Chinese developers are working on the research and development of a robot that can replace nurses in conducting throat testing to reduce the spread of the novel #coronavirus. https://www.shine.cn/news/nation/2002051310/ …	0	2	10	https://twitter.com/shanghaidaily/status/1224941392205475840	China
1224941280947404800	2020-02-05	03:22:14	shanghaidaily	Eradicate the prejudice – I am not a virus, I am a human #coronavirus https://www.shine.cn/viral/2002051309/ …	0	1	5	https://twitter.com/shanghaidaily/status/1224941280947404800	China
1224941047555317760	2020-02-05	03:21:18	shanghaidaily	Shanghai's daily facial #mask production reached more than 2.6 million as of Tuesday and the city's manufacturing capacity will be further lifted with the return of factory staff, the city's government said on Wednesday. #coronavirus https://www.shine.cn/news/metro/2002051306/ …	0	1	3	https://twitter.com/shanghaidaily/status/1224941047555317760	China
1224940906144391168	2020-02-05	03:20:44	shanghaidaily	Another three #coronavirus patients were #discharged upon recovery in Shanghai on Wednesday, said the Shanghai Health Commission. https://www.shine.cn/news/metro/2002051303/ …	0	1	5	https://twitter.com/shanghaidaily/status/1224940906144391168	China
1224932709719429120	2020-02-05	02:48:10	shanghaidaily	China's local governments and e-commerce platforms are moving to reduce rents and offer financial support to help small businesses tide over the novel #coronavirus outbreak. https://www.shine.cn/biz/economy/2002051301/ …	0	5	1	https://twitter.com/shanghaidaily/status/1224932709719429120	China
1224932450175877120	2020-02-05	02:47:08	shanghaidaily	Hong Kong's Centre for Health Protection said on early Wednesday that it was investigating three cases of the novel #coronavirus infection which were classified as local infection cases. https://www.shine.cn/news/nation/2002051299/ …	0	1	1	https://twitter.com/shanghaidaily/status/1224932450175877120	China
