id	datestamp	timestamp	username	tweet	replies_count	retweets_count	likes_count	url	country
1240231473405292544	2020-03-18	08:00:00	pdchina	"#LATEST on #CoronaOutbreak outside China: 
- Iran: 17,361 cases, 1,135 deaths (1,192 new cases, 147 deaths reported Wed) 
- Gambia, Djibouti reported first confirmed cases of coronavirus infection pic.twitter.com/wJqSvpqVQA"	2	18	36	https://twitter.com/PDChina/status/1240231473405292544	China
1240227698326167552	2020-03-18	07:45:00	pdchina	The eastern Chinese city of #Suzhou has donated 20,000 N95 masks to #Venice, its sister city in Italy, to support the fight against the coronavirus outbreak, the city government said. 50 boxes of masks were sent to Italy on Wed via a flight by China Eastern Airlines. pic.twitter.com/4LB6gk1bim	11	71	238	https://twitter.com/PDChina/status/1240227698326167552	China
1240223923469516800	2020-03-18	07:30:00	pdchina	Though the #COVID19 pandemic was first reported in #Wuhan, there is no evidence that it originated from Wuhan. It is irresponsible to jump to a conclusion: China's top epidemiologist Zhong Nanshan on Wed pic.twitter.com/P8fDEntvhB	116	110	415	https://twitter.com/PDChina/status/1240223923469516800	China
1240220148486811648	2020-03-18	07:15:00	pdchina	China has decided to donate 100,000 more test kits, 100,000 surgical masks, 10,000 N95 masks, and 10,000 sets of personal protective equipment to the Philippines to help the southeast Asian country fight #COVID19 spread, according to Chinese Ambassador to the Philippines pic.twitter.com/RxSZCuJKMU	5	56	194	https://twitter.com/PDChina/status/1240220148486811648	China
1240216375144013824	2020-03-18	07:00:00	pdchina	#TrendingInChina: Chinese-Australian who returned to China but refused to quarantine triggers public anger, gets fired by employer Bayer for violation of local rules and regulations  http://bit.ly/3daHY9d  pic.twitter.com/svNFkhhkFL	119	141	574	https://twitter.com/PDChina/status/1240216375144013824	China
1240208824511819778	2020-03-18	06:30:00	pdchina	Renowned Chinese respiratory specialist Zhong Nanshan said the fight against the #COVID19 should not be reliant on #herdimmunity. The production of an effective vaccine is at present the top priority. pic.twitter.com/vwtflbcjEa	12	54	177	https://twitter.com/PDChina/status/1240208824511819778	China
1240208320507469826	2020-03-18	06:28:00	pdchina	China has donated 2,016 fast test kits for #COVID19 to #Cambodia to help the country fight the virus, Cambodia's Ministry of Health said on Wed, adding that other China-donated items such as protective suits, medical face masks and medical equipment will arrive later. pic.twitter.com/wnwWKFHdg5	14	52	159	https://twitter.com/PDChina/status/1240208320507469826	China
1240201275213410305	2020-03-18	06:00:00	pdchina	#PeoplesDailyComments: The US’ erroneous mentality to create endless contradictions will entail more harm  http://bit.ly/33xAmcj  pic.twitter.com/w8XbciO6l2	13	21	80	https://twitter.com/PDChina/status/1240201275213410305	China
1240197624491196417	2020-03-18	05:45:30	pdchina	The Chinese mainland for the first time reported zero new indigenous suspected cases of #COVID19 on Tuesday, the National Health Commission said Wednesday. All of the 21 suspected cases reported Tuesday were imported cases. pic.twitter.com/qCvgJtM4sw	9	63	175	https://twitter.com/PDChina/status/1240197624491196417	China
1240193724619120640	2020-03-18	05:30:00	pdchina	In a bid to curb the spread of #COVID19, #Taiwan authorities announced Wednesday that no one but Taiwan residents shall be allowed to enter the region starting Thursday pic.twitter.com/kbKQz7AYQS	6	11	43	https://twitter.com/PDChina/status/1240193724619120640	China
1240189949372235779	2020-03-18	05:15:00	pdchina	China's Xichang Satellite Launch Center on Wednesday announced the development of a new positioning system that can greatly shorten the time searching for #rocket debris. pic.twitter.com/5Q89Nq7zGk	3	14	80	https://twitter.com/PDChina/status/1240189949372235779	China
1240186175207247872	2020-03-18	05:00:00	pdchina	Welcome to the world! Fu Wa, a 17-year-old panda at the Chengdu Research Base of Giant Panda Breeding in Sichuan province, gave birth to twin male pandas on March 17, the first weighing 159.8 grams and the second 119.5 grams. pic.twitter.com/Ck2RDsXwnf	9	66	319	https://twitter.com/PDChina/status/1240186175207247872	China
